"01-06-21 07:51:46","L'administrateur admin admin s'est connecté."
"01-06-21 07:52:09","L'administrateur admin admin a ajouté l'assurance Allianz avec comme gestionnaire Kevin Kevin."
"01-06-21 08:05:30","Le gestionnaire Kevin Kevin s'est connecté."
"01-06-21 08:05:54","Le gestionnaire Kevin Kevin s'est connecté."
"03-06-21 10:13:30","L'administrateur admin admin s'est connecté."
"03-06-21 10:14:59","L'administrateur admin admin s'est connecté."
"03-06-21 10:16:44","Le gestionnaire Kevin Kevin s'est connecté."
"03-06-21 10:19:50","Le gestionnaire Kevin Kevin a ajouté un nouveau contrat au nom de Hubert Lucas0"
"03-06-21 10:27:45","Le gestionnaire Kevin Kevin a ajouté un nouveau contrat au nom de Hubert Lucas0"
"03-06-21 10:30:15","Le gestionnaire Kevin Kevin a ajouté un nouveau contrat au nom de Hubert Lucas0"
"03-06-21 10:31:54","Le gestionnaire Kevin Kevin a ajouté un nouveau contrat au nom de Hubert Lucas0"
"03-06-21 10:33:10","Le gestionnaire Kevin Kevin a ajouté un nouveau contrat au nom de Hubert Lucas0"
